year,beef,corn
1984,1.29,2.63
1985,1.24,2.23
1986,1.23,1.5
1987,1.31,1.94
1988,1.36,2.54
1989,1.44,2.36
1990,1.59,2.28
1991,1.6,2.37
1992,1.54,2.07
1993,1.57,2.5
1994,1.48,2.26
1995,1.37,3.24
1996,1.37,2.71
1997,1.4,2.43
1998,1.41,1.94
1999,1.45,1.82
2000,1.57,1.85
2001,1.71,1.97
2002,1.71,2.32
2003,1.95,2.42
2004,2.16,2.06
2005,2.3,2
2006,2.22,3.04
2007,2.3,4.2
2008,2.34,4.06
2009,2.22,3.55
2010,2.37,5.18
2011,2.77,6.22
2012,3.03,6.89
2013,3.4,4.46
2014,3.9,3.7
2015,4.17,3.61
2016,3.75,3.36
2017,3.64,3.36
2018,3.72,3.61
2019,3.81,3.56
2020,4.12,4.53
2021,4.33,5.95
2022,4.81,6.75
